1	33920	39502	+	0.4629	163	0.0009	162	Zm00024ab000010	gbM
1	40544	45339	-	0.4232	104	0.0044	167	Zm00024ab000020	gbM
1	91433	96530	-	0.5606	40	0.0673	66	Zm00024ab000030	ambiguous
1	99438	99783	+	0.2273	8	0.0000	35	Zm00024ab000040	ambiguous
1	168889	169911	-	0.0022	52	0.0000	55	Zm00024ab000050	UM
1	192613	194875	-	0.6593	30	0.0000	50	Zm00024ab000060	ambiguous
1	200740	202764	-	0.8377	49	0.7466	78	Zm00024ab000070	teM
1	319589	319844	+	0.0000	39	0.0000	33	Zm00024ab000080	ambiguous
1	326894	327353	+	0.9514	54	0.6894	50	Zm00024ab000100	teM
1	623088	625401	+	0.0563	206	0.0018	153	Zm00024ab000120	ambiguous
1	623131	632712	-	0.3449	102	0.0011	106	Zm00024ab000130	gbM
1	728287	729200	+	0.0374	102	0.0000	78	Zm00024ab000140	UM
1	728358	762734	-	0.4347	334	0.0741	523	Zm00024ab000150	ambiguous
1	1016350	1024079	+	0.3309	224	0.0003	325	Zm00024ab000160	gbM
1	1025140	1027737	+	0.4780	60	0.0173	80	Zm00024ab000170	gbM
1	1027818	1028535	+	0.0000	66	0.0000	34	Zm00024ab000180	ambiguous
1	1029344	1037899	+	0.0460	70	0.0009	135	Zm00024ab000190	UM
1	1037289	1040190	-	0.0011	277	0.0000	200	Zm00024ab000200	UM
1	1047248	1064693	+	0.9218	143	0.7594	89	Zm00024ab000210	teM
1	1084293	1087248	-	0.8322	20	0.6496	19	Zm00024ab000220	ambiguous
1	1201137	1203060	-	0.9542	27	0.0000	31	Zm00024ab000250	ambiguous
1	1204239	1212795	-	0.9283	78	0.1255	68	Zm00024ab000260	ambiguous
1	1220121	1224656	-	0.4548	128	0.0122	149	Zm00024ab000270	gbM
1	1224698	1229532	-	0.2562	303	0.0038	260	Zm00024ab000280	gbM
1	1504686	1562113	+	0.5963	299	0.0196	653	Zm00024ab000300	gbM
1	1611813	1612441	-	0.9245	63	0.7424	32	Zm00024ab000310	ambiguous
1	1630027	1631275	-	0.0000	174	0.0000	120	Zm00024ab000320	UM
1	1693883	1694486	+	0.9074	68	0.6438	45	Zm00024ab000330	teM
1	1726002	1727427	+	0.0000	196	0.0000	154	Zm00024ab000350	UM
1	1825212	1827615	+	0.0014	418	0.0013	299	Zm00024ab000360	UM
1	1859574	1860700	+	0.0030	222	0.0000	151	Zm00024ab000370	UM
1	1865654	1866547	+	0.0000	98	0.0000	75	Zm00024ab000380	UM
1	1866490	1868110	-	0.0018	376	0.0007	212	Zm00024ab000390	UM
1	1877406	1880180	+	0.8974	36	0.6744	39	Zm00024ab000400	ambiguous
1	1916205	1918085	-	0.8292	112	0.5714	59	Zm00024ab000410	teM
1	1918535	1918984	+	NA	0	NA	0	Zm00024ab000420	ambiguous
1	1919090	1919423	+	NA	0	NA	0	Zm00024ab000430	ambiguous
1	1920484	1923356	+	NA	0	NA	0	Zm00024ab000440	ambiguous
1	1925543	1925915	+	0.9600	25	0.5000	12	Zm00024ab000450	ambiguous
1	1925983	1926739	+	0.9401	89	0.8465	58	Zm00024ab000460	teM
1	1928987	1930960	-	0.0056	138	0.0000	54	Zm00024ab000470	UM
1	2026200	2027182	+	0.0000	97	0.0000	105	Zm00024ab000490	UM
1	2026207	2027210	-	NA	0	NA	0	Zm00024ab000500	ambiguous
1	2029674	2030517	-	0.0000	100	0.0026	70	Zm00024ab000510	UM
1	2070773	2072800	+	0.0004	392	0.0000	229	Zm00024ab000520	UM
1	2077918	2085095	-	0.4422	178	0.0057	207	Zm00024ab000540	gbM
1	2153780	2154131	-	0.9136	52	0.7342	51	Zm00024ab000550	teM
1	2160132	2162021	+	0.0351	278	0.0007	178	Zm00024ab000560	UM
1	2164071	2168047	-	0.7813	172	0.0041	237	Zm00024ab000570	gbM
1	2219807	2222188	-	0.0181	246	0.0000	134	Zm00024ab000590	UM
1	2223001	2236971	-	0.7347	314	0.0031	638	Zm00024ab000600	gbM
1	2236643	2237023	+	0.0000	4	0.0000	1	Zm00024ab000610	ambiguous
1	2322289	2328647	-	0.0672	152	0.0013	222	Zm00024ab000630	ambiguous
1	2323594	2324669	+	NA	0	NA	0	Zm00024ab000640	ambiguous
1	2372082	2376698	-	0.9011	48	0.0053	93	Zm00024ab000650	gbM
1	2378026	2383083	+	0.5034	137	0.0059	235	Zm00024ab000660	gbM
1	2439117	2440978	-	0.0086	283	0.0045	217	Zm00024ab000670	UM
1	2462971	2463608	+	0.0000	85	0.0000	54	Zm00024ab000680	UM
1	2464809	2465738	-	0.2201	50	0.0377	91	Zm00024ab000690	gbM
1	2476813	2478016	+	0.8889	10	0.8408	46	Zm00024ab000700	ambiguous
1	2512866	2513833	+	0.7778	16	0.7178	33	Zm00024ab000710	ambiguous
1	2592630	2600562	+	0.7449	183	0.0013	404	Zm00024ab000730	gbM
1	2631728	2634896	-	0.0030	354	0.0000	269	Zm00024ab000740	UM
1	2639566	2646067	-	0.2526	88	0.0017	134	Zm00024ab000750	gbM
1	2675497	2678158	+	0.1903	226	0.0015	173	Zm00024ab000760	ambiguous
1	2681309	2682058	-	0.2332	118	0.0058	57	Zm00024ab000770	gbM
1	2683906	2690483	+	0.1623	176	0.0016	212	Zm00024ab000780	ambiguous
1	2690899	2692175	-	0.0021	204	0.0009	151	Zm00024ab000790	UM
1	2698670	2700829	+	0.2290	72	0.0000	90	Zm00024ab000800	gbM
1	2701357	2702603	-	0.0000	120	0.0000	57	Zm00024ab000810	UM
1	2726680	2734265	+	0.3895	189	0.0033	277	Zm00024ab000820	gbM
1	2734613	2737515	-	0.5543	26	0.0000	65	Zm00024ab000830	ambiguous
1	2773049	2781563	+	0.2171	86	0.0049	116	Zm00024ab000840	gbM
1	2782230	2792065	-	0.1490	138	0.0135	132	Zm00024ab000850	ambiguous
1	2792227	2801227	+	0.2797	266	0.0101	257	Zm00024ab000860	gbM
1	2793003	2797717	-	NA	0	NA	0	Zm00024ab000870	ambiguous
1	2804072	2806892	+	0.0039	510	0.0077	315	Zm00024ab000880	UM
1	2835503	2836479	+	0.0000	159	0.0000	72	Zm00024ab000890	UM
1	2887678	2895502	+	0.4510	178	0.0018	205	Zm00024ab000900	gbM
1	2897900	2901101	+	0.0030	172	0.0024	120	Zm00024ab000910	UM
1	2900234	2920828	-	0.6252	72	0.0118	135	Zm00024ab000920	gbM
1	2944863	2946699	+	0.8824	6	0.8224	25	Zm00024ab000930	ambiguous
1	2956164	2966769	+	0.2283	94	0.0250	181	Zm00024ab000940	gbM
1	2987073	2988482	+	0.0235	92	0.0220	68	Zm00024ab000950	UM
1	3064675	3065832	-	0.0015	106	0.0000	79	Zm00024ab000960	UM
1	3074228	3092932	+	0.6389	233	0.0665	369	Zm00024ab000970	ambiguous
1	3087074	3087509	-	NA	0	NA	0	Zm00024ab000980	ambiguous
1	3094695	3105787	+	0.6872	184	0.0070	534	Zm00024ab000990	gbM
1	3256754	3261150	-	0.0148	658	0.0032	429	Zm00024ab001000	UM
1	3289610	3289951	-	0.9545	8	0.8716	16	Zm00024ab001010	ambiguous
1	3299282	3305572	+	0.2634	264	0.0065	330	Zm00024ab001020	gbM
1	3305825	3307040	+	0.0000	245	0.0000	104	Zm00024ab001030	UM
1	3307212	3308593	-	0.0000	86	0.0000	68	Zm00024ab001040	UM
1	3349374	3368382	+	0.5151	140	0.0808	221	Zm00024ab001050	ambiguous
1	3369963	3371997	-	0.0033	498	0.0000	265	Zm00024ab001060	UM
1	3370206	3371963	+	NA	0	NA	0	Zm00024ab001070	ambiguous
1	3373731	3374966	-	0.4832	62	0.0076	40	Zm00024ab001080	gbM
1	3450476	3452259	+	0.2654	137	0.0000	151	Zm00024ab001090	gbM
1	3453012	3456576	+	0.3829	135	0.0150	135	Zm00024ab001110	gbM
1	3459147	3460185	-	0.0000	194	0.0000	95	Zm00024ab001120	UM
1	3460980	3462192	+	0.0000	172	0.0015	111	Zm00024ab001130	UM
1	3462169	3467498	-	0.3112	374	0.0076	355	Zm00024ab001140	gbM
1	3508504	3511538	+	0.0037	385	0.0000	235	Zm00024ab001150	UM
1	3510705	3513338	-	0.0136	254	0.0007	214	Zm00024ab001160	UM
1	3526642	3531425	+	0.4532	236	0.0133	270	Zm00024ab001170	gbM
1	3533324	3548178	+	0.0966	111	0.0009	123	Zm00024ab001180	ambiguous
1	3547998	3550378	-	0.0004	336	0.0008	183	Zm00024ab001190	UM
1	3626117	3631065	+	0.1615	163	0.0000	175	Zm00024ab001210	ambiguous
