Chr	Start	End	gene	root	shoot	anther	base	middle	tip	ear	tassel		
1	28481	34071	Zm00019ab000010	3.88935	11.6245	4.23311	11.2477	19.6651	15.5455	11.6565	8.13578		
1	35100	39955	Zm00019ab000020	65.1737	32.973	12.5191	30.3386	6.76795	1.79579	173.204	20.4983		
1	105037	105414	Zm00019ab000050	0.170452	0	0	0.187558	0.146495	0.305559	1.18361	0.686655		
1	183392	185304	Zm00019ab000060	53.1477	27.3421	31.9454	88.5565	72.4104	44.5583	108.187	73.742		
1	185610	186388	Zm00019ab000070	0	0.148058	0.0744649	0.0910103	0	0	0.478608	0		
1	196080	199695	Zm00019ab000080	35.3424	14.0902	17.6623	50.9769	34.977	20.1233	99.0964	42.709		
1	204154	206231	Zm00019ab000100	0.868171	0.263644	0.697885	0.409415	0.199862	0.402977	1.61478	1.18661		
1	225964	226598	Zm00019ab000110	2.08005	0.771942	1.59865	1.00484	0.305218	0.545676	3.99257	2.14593		
1	354609	355168	Zm00019ab000120	0	1.5447	2.84862	0.126602	2.07657	0.721884	0.798934	0.463492		
1	362296	362754	Zm00019ab000140	0	0	0	0	0	0	0	0.28274		
1	592314	593843	Zm00019ab000180	2.80042	0.942298	1.04263	2.52542	2.37064	0.698293	3.60652	1.31474		
1	593409	601856	Zm00019ab000190	8.94616	3.7374	3.77657	7.0788	5.41101	3.43168	13.3723	3.77136		
1	737946	738799	Zm00019ab000200	2.60288	2.16089	1.15473	1.28677	0.972632	1.18342	5.85012	34.268		
1	737946	747249	Zm00019ab000210	4.79214	2.87599	3.43847	2.79656	3.00564	2.64112	12.2141	5.07032		
1	809414	819545	Zm00019ab000220	46.3803	23.5865	17.9572	22.6609	29.4966	17.6552	44.4776	23.6577		
1	817997	818227	Zm00019ab000230	14.225	37.8216	13.6859	22.8651	75.6315	40.8755	2.58241	13.7643		
1	818303	819076	Zm00019ab000240	7.65843	48.0572	11.0171	26.4719	81.8823	51.7071	2.45667	18.36		
1	907055	925351	Zm00019ab000250	1.28002	2.05183	0.326548	14.6138	1.30138	0.432413	1.72388	0.780213		
1	908765	918419	Zm00019ab000260	1.48147	1.6097	0.540729	10.2913	1.64032	0.783568	2.71083	1.37103		
1	1031026	1031673	Zm00019ab000270	1.04402	21.0473	7.02722	19.9124	46.7014	106.01	2.64667	4.60631		
1	2261230	2261613	Zm00019ab000300	15.9399	6.98331	2.71913	25.0171	6.56138	0.977552	36.8952	5.91435		
1	2261655	2263115	Zm00019ab000310	9.85644	4.67743	2.04478	18.5613	5.43897	1.60089	29.1174	6.52886		
1	2379973	2380620	Zm00019ab000330	1.04402	22.0707	7.11674	20.0219	49.7778	109.664	2.70421	4.50617		
1	2458497	2459587	Zm00019ab000340	0	0	0	0.0649835	0	0	0	0		
1	2483182	2487244	Zm00019ab000350	1.76816	5.03873	0	35.9284	1.54009	0.0213207	1.0094	0.191648		
1	2572560	2573333	Zm00019ab000360	7.65843	48.0572	11.0171	26.4719	82.0254	51.6698	2.45667	18.36		
1	2573409	2573639	Zm00019ab000370	14.225	37.8216	13.6859	22.8651	75.6315	40.8755	2.58241	13.7643		
1	2573627	2585019	Zm00019ab000380	38.5606	16.6583	15.3511	18.0432	18.8391	10.6398	39.9212	19.7406		
1	2711189	2711974	Zm00019ab000390	1.47551	1.39403	0.369009	0.856898	0.563615	0.51432	3.60503	34.6735		
1	2711819	2715445	Zm00019ab000400	13.6607	8.2202	8.38056	8.00451	8.38949	7.69851	37.2939	6.27957		
1	2731636	2732487	Zm00019ab000410	0.226869	1.01529	0	0.33285	0	0	1.18152	27.3417		
1	2732706	2765203	Zm00019ab000420	4.15356	2.59525	1.72429	3.28873	3.03901	2.53675	14.1985	1.98472		
1	2914544	2914843	Zm00019ab000430	10.0941	2.49897	0	0.70897	0	0.192502	0.372836	0		
1	3109057	3116794	Zm00019ab000450	11.8986	5.58949	2.2677	8.57581	7.52124	5.42206	10.3785	6.31447		
1	3117726	3120485	Zm00019ab000460	29.8809	17.4677	17.2133	27.6653	39.1338	31.1038	15.886	23.581		
1	3120541	3121249	Zm00019ab000470	1.81751	1.95211	2.37269	2.89988	7.69317	9.81518	2.41896	5.39978		
1	3122221	3130252	Zm00019ab000480	8.04581	4.65973	4.61855	12.4723	12.7407	9.25723	9.59476	11.1972		
1	3130011	3132928	Zm00019ab000490	37.4926	50.3266	11.0629	36.4082	42.5087	31.8935	17.8879	24.2611		
1	3174945	3175606	Zm00019ab000510	0.0973273	0.261338	0.30669	0.107095	0.418242	0.305329	0.394237	0.0980195		
1	3177786	3180735	Zm00019ab000520	27.1919	16.1374	5.09292	31.0866	36.8386	15.8961	35.2488	16.3652		
1	3295279	3306346	Zm00019ab000540	0.0785882	0.0312624	0.0288259	0.00640559	0.0250159	0.0313069	0.101058	0.046902		
1	3307386	3309308	Zm00019ab000550	16.3338	4.34839	6.1085	8.70083	6.73832	4.6549	15.6075	11.7765		
1	3326364	3330901	Zm00019ab000560	18.1522	11.3291	12.1948	15.0137	13.5204	11.0526	19.6934	20.7193		
1	3330944	3335752	Zm00019ab000570	10.3968	4.84469	2.2617	3.62667	3.55235	4.21512	19.8008	5.61318		
1	3578521	3579832	Zm00019ab000580	1.91524	0.967004	4.53189	1.94535	0.886341	0.594234	3.63742	3.4126		
1	3586852	3587841	Zm00019ab000590	0.162704	0.0582511	0.0585941	0.143226	0	0	0.225961	0.262177		
1	3594384	3635762	Zm00019ab000600	9.81743	6.13284	3.34698	10.9081	6.56409	5.34465	25.745	8.71584		
1	3704892	3706069	Zm00019ab000610	55.3513	0.0979094	0.3447	0	0	0	0	0		
1	3773306	3777170	Zm00019ab000620	2.67558	1.44731	0.645369	0.623674	1.55452	1.2103	0.46303	0.268622		
1	3820754	3822215	Zm00019ab000630	53.986	9.70348	0.0793545	35.0363	3.42781	0	73.8276	0.443837		
1	3921396	3923747	Zm00019ab000640	6.19104	0.0612974	0	0.0150717	0	0	0.412148	0		
1	3933250	3935586	Zm00019ab000650	0.716815	1.3572	0.695006	0.257863	0.497595	0.815479	1.05294	2.99872		
1	3953666	3956602	Zm00019ab000660	49.9628	0.667597	0.158007	1.43629	1.54606	0.235958	4.54461	2.91636		
1	3955095	3956686	Zm00019ab000670	4.08762	0.380352	0.182186	0.890666	0.573926	0.16324	1.07729	5.17644		
1	3961367	3963477	Zm00019ab000680	132.661	122.358	20.5543	49.6548	26.7301	17.3854	400.918	47.6754		
1	4027344	4028245	Zm00019ab000700	0.0714309	0	2.25087	0.1572	0.491132	0.384151	0.702684	0.431634		
1	4039408	4039804	Zm00019ab000710	5.59914	2.17892	0.511407	3.30377	2.23175	0.290936	4.69566	4.57655		
1	4049269	4050170	Zm00019ab000720	0.0714309	0	2.25087	0.1572	0.491132	0.384151	0.702684	0.431634		
1	4051989	4052385	Zm00019ab000730	5.59914	2.25155	0.511407	3.66093	2.51071	0.36367	4.9774	4.4131		
1	4053781	4054195	Zm00019ab000740	2.01831	0.694803	0.279557	0.512509	0.333585	0	1.07808	1.56359		
1	4089857	4090798	Zm00019ab000760	107.555	43.8024	25.2169	96.2604	3.90918	0	608.292	196.458		
