gene,pan,class,copy
Zm00020ab000060,pan_gene_1,Dispensable Gene,1
Zm00020ab000080,pan_gene_2,Near-Core Gene,1
Zm00020ab000090,pan_gene_3,Near-Core Gene,1
gmap_ID=chr1:232323-233085,pan_gene_4,Dispensable Gene,1
Zm00020ab000110,pan_gene_5,Near-Core Gene,1
Zm00020ab000130,pan_gene_7,Near-Core Gene,1
Zm00020ab000170,pan_gene_8,Core Gene,1
Zm00020ab000160,pan_gene_9,Core Gene,1
Zm00020ab000190,pan_gene_10,Core Gene,1
Zm00020ab000180,pan_gene_11,Core Gene,1
Zm00020ab000210,pan_gene_12,Core Gene,1
Zm00020ab000220,pan_gene_13,Core Gene,1
Zm00020ab000230,pan_gene_14,Core Gene,1
Zm00020ab000240,pan_gene_15,Core Gene,1
gmap_ID=chr1:1196526-1199475,pan_gene_16,Core Gene,1
gmap_ID=chr1:1294970-1296598,pan_gene_17,Core Gene,1
Zm00020ab000280,pan_gene_18,Core Gene,1
gmap_ID=chr1:1314204-1318280,pan_gene_19,Core Gene,1
Zm00020ab000290,pan_gene_20,Core Gene,1
Zm00020ab000310,pan_gene_21,Core Gene,1
Zm00020ab000320,pan_gene_23,Core Gene,2
Zm00020ab000350,pan_gene_24,Core Gene,1
Zm00020ab000360,pan_gene_25,Core Gene,1
Zm00020ab000370,pan_gene_26,Core Gene,1
Zm00020ab000390,pan_gene_27,Core Gene,1
Zm00020ab000450,pan_gene_28,Core Gene,1
Zm00020ab000460,pan_gene_29,Core Gene,1
Zm00020ab000470,pan_gene_30,Core Gene,1
Zm00020ab000480,pan_gene_31,Core Gene,1
Zm00020ab000500,pan_gene_32,Core Gene,1
Zm00020ab000510,pan_gene_33,Core Gene,1
gmap_ID=chr1:2293288-2293605,pan_gene_34,Dispensable Gene,1
Zm00020ab000530,pan_gene_35,Near-Core Gene,1
Zm00020ab000540,pan_gene_36,Core Gene,1
Zm00020ab000550,pan_gene_37,Dispensable Gene,1
Zm00020ab000560,pan_gene_38,Core Gene,1
Zm00020ab000570,pan_gene_39,Core Gene,1
Zm00020ab000580,pan_gene_40,Core Gene,1
Zm00020ab000590,pan_gene_41,Core Gene,1
Zm00020ab000600,pan_gene_42,Core Gene,1
Zm00020ab000610,pan_gene_43,Dispensable Gene,1
Zm00020ab000620,pan_gene_44,Core Gene,1
Zm00020ab000640,pan_gene_45,Core Gene,1
