gene,pan,class,copy
Zm00023ab000060,pan_gene_2,Near-Core Gene,1
gmap_ID=chr1:188535-191366,pan_gene_3,Near-Core Gene,1
gmap_ID=chr1:237628-238390,pan_gene_4,Dispensable Gene,1
Zm00023ab000090,pan_gene_5,Near-Core Gene,1
Zm00023ab000110,pan_gene_7,Near-Core Gene,1
Zm00023ab000190,pan_gene_8,Core Gene,3
Zm00023ab000180,pan_gene_9,Core Gene,5
Zm00023ab000540,pan_gene_10,Core Gene,2
Zm00023ab000210,pan_gene_11,Core Gene,2
Zm00023ab000580,pan_gene_12,Core Gene,1
Zm00023ab000590,pan_gene_13,Core Gene,1
Zm00023ab000610,pan_gene_14,Core Gene,1
Zm00023ab000620,pan_gene_15,Core Gene,1
gmap_ID=chr1:3176486-3179558,pan_gene_16,Core Gene,1
gmap_ID=chr1:3354141-3355768,pan_gene_17,Core Gene,1
Zm00023ab000690,pan_gene_18,Core Gene,1
Zm00023ab000700,pan_gene_19,Core Gene,1
Zm00023ab000710,pan_gene_20,Core Gene,1
Zm00023ab000720,pan_gene_21,Core Gene,1
Zm00023ab000730,pan_gene_23,Core Gene,2
Zm00023ab000750,pan_gene_24,Core Gene,1
Zm00023ab000770,pan_gene_25,Core Gene,1
Zm00023ab000780,pan_gene_26,Core Gene,1
Zm00023ab000790,pan_gene_27,Core Gene,1
Zm00023ab000880,pan_gene_28,Core Gene,1
Zm00023ab000890,pan_gene_29,Core Gene,1
Zm00023ab000900,pan_gene_30,Core Gene,1
Zm00023ab000910,pan_gene_31,Core Gene,1
Zm00023ab000920,pan_gene_32,Core Gene,1
Zm00023ab000930,pan_gene_33,Core Gene,1
gmap_ID=chr1:4380800-4381117,pan_gene_34,Dispensable Gene,1
Zm00023ab000950,pan_gene_35,Near-Core Gene,2
Zm00023ab000970,pan_gene_36,Core Gene,1
Zm00023ab000980,pan_gene_38,Core Gene,1
Zm00023ab000990,pan_gene_39,Core Gene,1
Zm00023ab001000,pan_gene_40,Core Gene,1
Zm00023ab001010,pan_gene_41,Core Gene,1
Zm00023ab001020,pan_gene_42,Core Gene,1
Zm00023ab001030,pan_gene_43,Dispensable Gene,1
